aphiaid,latitude,longitude,abundance,period
149068,51.43266442,2.80987783,0.01270428547,2021-10
149068,51.43266442,2.80987783,0.01270428547,2021-10
149068,51.43266442,2.80987783,0.01270428547,2021-10
149630,51.43266442,2.80987783,0.006352142734,2021-10
149630,51.43266442,2.80987783,0.006352142734,2021-10
149630,51.43266442,2.80987783,0.006352142734,2021-10
109553,51.43307498,2.80898633,0.000448232137,2021-12
109553,51.43307498,2.80898633,0.000448232137,2021-12
109553,51.43307498,2.80898633,0.000448232137,2021-12
115088,51.42662513,2.79727333,0.392776331,2021-08
115088,51.42662513,2.79727333,0.392776331,2021-08
115088,51.42662513,2.79727333,0.392776331,2021-08
146203,51.43307498,2.80898633,0.000672348206,2021-12
146203,51.43307498,2.80898633,0.000672348206,2021-12
146203,51.43307498,2.80898633,0.000672348206,2021-12
591199,51.43266442,2.80987783,0.09104737918,2021-10
591199,51.43266442,2.80987783,0.09104737918,2021-10
591199,51.43266442,2.80987783,0.09104737918,2021-10
162969,51.43307498,2.80898633,0.006499365987,2021-12
162969,51.43307498,2.80898633,0.006499365987,2021-12
162969,51.43307498,2.80898633,0.006499365987,2021-12
149130,51.43307498,2.80898633,0.000896464274,2021-12
149130,51.43307498,2.80898633,0.000896464274,2021-12
149130,51.43307498,2.80898633,0.000896464274,2021-12
345491,51.43338568,2.80615867,0.01044815827,2021-07
345491,51.43338568,2.80615867,0.01044815827,2021-07
345491,51.43338568,2.80615867,0.01044815827,2021-07
149280,51.43307498,2.80898633,0.000896464274,2021-12
149280,51.43307498,2.80898633,0.000896464274,2021-12
149280,51.43307498,2.80898633,0.000896464274,2021-12
110247,51.42662513,2.79727333,0.04909704137,2021-08
110247,51.42662513,2.79727333,0.04909704137,2021-08
110247,51.42662513,2.79727333,0.04909704137,2021-08
345491,51.43266442,2.80987783,0.004234761823,2021-10
345491,51.43266442,2.80987783,0.004234761823,2021-10
345491,51.43266442,2.80987783,0.004234761823,2021-10
148949,51.43307498,2.80898633,0.000672348206,2021-12
148949,51.43307498,2.80898633,0.000672348206,2021-12
148949,51.43307498,2.80898633,0.000672348206,2021-12
1080,51.43307498,2.80898633,0.000224116069,2021-12
1080,51.43307498,2.80898633,0.000224116069,2021-12
1080,51.43307498,2.80898633,0.000224116069,2021-12
148899,51.43338568,2.80615867,7.2666940767,2021-07
148899,51.43338568,2.80615867,7.2666940767,2021-07
148899,51.43338568,2.80615867,7.2666940767,2021-07
148985,51.43307498,2.80898633,0.004258205302,2021-12
148985,51.43307498,2.80898633,0.004258205302,2021-12
148985,51.43307498,2.80898633,0.004258205302,2021-12
447730,51.43266442,2.80987783,0.2731421376,2021-10
447730,51.43266442,2.80987783,0.2731421376,2021-10
447730,51.43266442,2.80987783,0.2731421376,2021-10
162969,51.43266442,2.80987783,0.1037516647,2021-10
162969,51.43266442,2.80987783,0.1037516647,2021-10
162969,51.43266442,2.80987783,0.1037516647,2021-10
115088,51.43338568,2.80615867,0.4335985682,2021-07
115088,51.43338568,2.80615867,0.4335985682,2021-07
115088,51.43338568,2.80615867,0.4335985682,2021-07
148969,51.43338568,2.80615867,0.01567223741,2021-07
148969,51.43338568,2.80615867,0.01567223741,2021-07
148969,51.43338568,2.80615867,0.01567223741,2021-07
149145,51.43266442,2.80987783,0.004234761823,2021-10
149145,51.43266442,2.80987783,0.004234761823,2021-10
149145,51.43266442,2.80987783,0.004234761823,2021-10
109553,51.43266442,2.80987783,0.008469523645,2021-10
109553,51.43266442,2.80987783,0.008469523645,2021-10
109553,51.43266442,2.80987783,0.008469523645,2021-10
345513,51.43307498,2.80898633,0.000224116069,2021-12
345513,51.43307498,2.80898633,0.000224116069,2021-12
345513,51.43307498,2.80898633,0.000224116069,2021-12
149069,51.43307498,2.80898633,0.006723482056,2021-12
149069,51.43307498,2.80898633,0.006723482056,2021-12
149069,51.43307498,2.80898633,0.006723482056,2021-12
836581,51.42662513,2.79727333,0.07364556205,2021-08
836581,51.42662513,2.79727333,0.07364556205,2021-08
836581,51.42662513,2.79727333,0.07364556205,2021-08
109393,51.43338568,2.80615867,0.3134447481,2021-07
109393,51.43338568,2.80615867,0.3134447481,2021-07
109393,51.43338568,2.80615867,0.3134447481,2021-07
149054,51.43338568,2.80615867,0.005224079135,2021-07
149054,51.43338568,2.80615867,0.005224079135,2021-07
149054,51.43338568,2.80615867,0.005224079135,2021-07
148899,51.43266442,2.80987783,1.20055497671,2021-10
148899,51.43266442,2.80987783,1.20055497671,2021-10
148899,51.43266442,2.80987783,1.20055497671,2021-10
149023,51.43307498,2.80898633,0.02129102651,2021-12
149023,51.43307498,2.80898633,0.02129102651,2021-12
149023,51.43307498,2.80898633,0.02129102651,2021-12
148969,51.43266442,2.80987783,0.4997018951,2021-10
148969,51.43266442,2.80987783,0.4997018951,2021-10
148969,51.43266442,2.80987783,0.4997018951,2021-10
149120,51.43266442,2.80987783,0.01482166638,2021-10
149120,51.43266442,2.80987783,0.01482166638,2021-10
149120,51.43266442,2.80987783,0.01482166638,2021-10
157440,51.43266442,2.80987783,0.08892999827,2021-10
157440,51.43266442,2.80987783,0.08892999827,2021-10
157440,51.43266442,2.80987783,0.08892999827,2021-10
345491,51.42662513,2.79727333,0.04909704137,2021-08
345491,51.42662513,2.79727333,0.04909704137,2021-08
345491,51.42662513,2.79727333,0.04909704137,2021-08
